%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1985 5 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 71.00 9.90 99.23 0.00 283.00 -999.00 313.00 -999.00 -999.00 -999.00 -999.00 116.00 386.00 69.00
1985 5 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 68.00 10.00 99.23 0.00 275.00 -999.00 304.00 -999.00 -999.00 -999.00 -999.00 122.00 373.00 81.00
1985 5 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 67.00 10.20 99.23 0.00 213.00 -999.00 308.00 -999.00 -999.00 -999.00 -999.00 101.00 334.00 85.00
1985 5 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 68.00 10.30 99.23 0.00 135.00 -999.00 308.00 -999.00 -999.00 -999.00 -999.00 66.00 283.00 87.00
1985 5 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 73.00 10.10 99.23 0.00 45.00 -999.00 311.00 -999.00 -999.00 -999.00 -999.00 26.00 104.00 96.00
1985 5 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 71.00 9.90 99.23 0.00 5.00 -999.00 303.00 -999.00 -999.00 -999.00 -999.00 3.00 0.00 100.00
1985 5 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 69.00 10.10 99.23 0.00 0.00 -999.00 288.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 108.00
1985 5 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 70.00 9.70 99.23 0.00 0.00 -999.00 311.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 113.00
1985 5 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 71.00 8.90 99.23 0.00 0.00 -999.00 299.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 105.00
1985 5 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 74.00 7.90 99.23 0.00 0.00 -999.00 297.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 95.00
1985 5 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 72.00 8.40 99.23 0.00 0.00 -999.00 291.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 341.00
1985 6 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 74.00 7.90 99.23 0.00 0.00 -999.00 293.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 347.00
